Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
851256794,work,low,4.7,free,Summer,o-neck,full,empire,cotton,,,solid,0
751049573,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,,rivet,solid,0
882490248,cute,Average,0.0,M,Summer,o-neck,short,natural,cotton,chiffon,,print,0
541172235,Casual,Average,4.7,M,winter,o-neck,full,,,,,animal,0
727676110,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,,applique,solid,1
891631697,party,Average,5.0,free,Summer,v-neck,sleevless,,,,,,0
1059306768,Casual,Average,0.0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,,patchwork,0
764321904,Sexy,Average,5.0,L,winter,o-neck,threequarter,natural,polyster,,lace,geometric,0
902108125,Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,,embroidary,solid,0
874397327,Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,,,dot,0
861698160,Casual,Average,4.1,M,Automn,v-neck,full,,,chiffon,sashes,,1
981437831,Casual,Average,5.0,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,,,0
1036456647,Sexy,Average,5.0,M,Summer,v-neck,sleevless,empire,cotton,,sequined,solid,1
951280194,work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,,,solid,0
1079373429,Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,,,,,,0
747381880,vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,,worsted,,solid,0
1099363892,Casual,Average,0.0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,,solid,1
941333009,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,,print,0
819651586,bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,,sashes,print,0
1043590098,Casual,low,5.0,free,Spring,slash-neck,sleevless,empire,spandex,,,striped,1
1091666465,Casual,Average,5.0,M,Winter,o-neck,sleevless,natural,,chiffon,sashes,solid,1
863336720,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,,striped,0
771972560,work,low,4.5,M,Winter,v-neck,threequarter,,,,,patchwork,0
756492184,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,,lace,patchwork,1
1097157656,Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,,dobby,lace,animal,0
573923366,sexy,Low,4.3,M,Automn,open,short,natural,lace,,lace,print,0
756620535,Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,1
765350508,Casual,low,4.6,L,Winter,o-neck,full,,cotton,,,,0
968294356,Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,,chiffon,sashes,solid,1
1017678811,Casual,low,0.0,free,Automn,peterpan-collor,threequarter,empire,,,,,0
933231033,Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,,chiffon,,,1
1199765487,Casual,Average,0.0,S,Summer,o-neck,sleevless,empire,cotton,,,solid,0
965817793,Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,,,print,1
1074432879,Casual,Average,5.0,S,Winter,o-neck,sleevless,empire,polyster,chiffon,,plaid,0
1132858821,Sexy,very-high,0.0,free,Winter,v-neck,sleevless,natural,polyster,knitting,,solid,0
905732124,Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,,sashes,print,0
711045472,Casual,Average,4.8,M,Automn,v-neck,short,,,chiffon,embroidary,print,1
923983419,Casual,Average,5.0,free,Summer,v-neck,sleevless,,modal,,,patchwork,0
733025646,Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,,,print,1
720099861,Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,,striped,0
923915314,Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,,,0
1077555214,Casual,low,5.0,S,Spring,o-neck,sleevless,natural,chiffonfabric,,,print,0
1216538883,cute,Average,0.0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,0
531254082,Casual,low,4.8,free,Spring,o-neck,sleevless,,chiffonfabric,chiffon,,print,1
890279029,Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,,applique,dot,0
995964089,bohemian,Average,5.0,M,Spring,slash-neck,sleevless,empire,,chiffon,ruffles,solid,1
868453353,Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,,sashes,print,1
1024954013,Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,0
685606338,Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,,,solid,1
877962269,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,0
995644296,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,,patchwork,0
1066273951,Casual,Average,3.5,M,winter,v-neck,short,natural,,,,solid,0
822176645,Casual,Average,4.8,M,winter,o-neck,threequarter,natural,,,,print,1
659466129,Casual,Average,0.0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,1
694493217,Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,,sashes,striped,0
793162246,Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,,broadcloth,,print,1
817945281,Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,,button,solid,0
920902282,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,,,character,0
727820291,Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,,solid,0
699738864,Casual,low,4.7,S,summer,o-neck,full,natural,cotton,,,patchwork,0
1197211965,cute,Low,0.0,free,Summer,boat-neck,sleevless,,cotton,,,print,0
682561447,party,very-high,5.0,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,,1
999081623,Casual,Average,4.9,M,Automn,v-neck,sleevless,,polyster,,,,1
1108613896,party,very-high,0.0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,,0
1054555186,party,very-high,0.0,M,Winter,v-neck,cap-sleeves,,,chiffon,lace,,0
915238287,Casual,Low,4.4,M,Winter,v-neck,turndowncollor,,cotton,,,,1
1107279894,party,very-high,0.0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,,1
1163040038,party,high,0.0,M,Winter,Sweetheart,sleevless,natural,,,pearls,,0
1091877430,party,high,0.0,M,Spring,Sweetheart,sleevless,,nylon,,,,0
1053467336,party,Average,5.0,M,Winter,o-neck,capsleeves,empire,polyster,,lace,,1
609889168,party,high,4.7,M,Winter,sweetheart,sleeveless,natural,,chiffon,flowers,,0
662727740,party,,4.8,free,Winter,o-neck,sleevless,empire,,,embroidary,,1
1090993173,party,,4.5,L,Summer,,full,,,,,,1
963684109,party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,,chiffon,beading,,1
619817668,party,high,4.6,M,winter,Sweetheart,sleevless,natural,,chiffon,,,0
1066740059,party,Average,5.0,M,Spring,Sweetheart,sleevless,natural,polyster,,,,1
732184480,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,,1
1044683061,party,very-high,0.0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,,1
579010251,party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,,0
751364623,party,Average,4.8,L,,Sweetheart,sleevless,empire,,,pleat,,1
898316819,party,Medium,4.6,S,Winter,Scoop,short,empire,,,crystal,,0
622667306,party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,,1
809344968,party,Medium,4.8,S,Spring,v-neck,sleevless,empire,,,,,1
754138176,party,very-high,4.2,L,Winter,v-neck,sleevless,,,,lace,,1
674192921,Casual,Low,4.4,free,Summer,o-neck,sleevless,,,,,,1
726446177,party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,,1
1193747589,party,very-high,0.0,M,Winter,o-neck,full,natural,,,feathers,,1
676827184,Casual,high,4.6,M,Summer,Sweetheart,sleevless,empire,,,beading,,1
619996560,party,Average,4.7,free,Winter,o-neck,sleevless,,polyster,,,,0
618420156,party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,,1
689486739,party,very-high,4.5,M,Spring,v-neck,cap-sleeves,,,,lace,,1
751364614,party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,1
825341937,party,high,4.8,M,Summer,Sweetheart,sleevless,princess,,sattin,,,1
736813752,party,high,4.6,M,Summer,slash-neck,sleevless,natural,,chiffon,,,1
636178374,party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,,1
743485617,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,1
933951149,party,Average,5.0,M,Spring,o-neck,sleevless,,,,,,1
684561284,party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,,1
616295248,party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,,1
736076633,party,very-high,4.9,L,Spring,slash-neck,sleevless,,,chiffon,flowers,,1
1108073621,party,Medium,0.0,free,Winter,v-neck,short,empire,,chiffon,lace,,1
1053002876,work,Average,5.0,free,Winter,o-neck,half,,microfiber,,,,0
444282011,party,very-high,4.9,M,Spring,v-neck,sleevless,empire,,sattin,beading,,1
949336768,Casual,high,5.0,free,Summer,v-neck,sleevless,natural,nylon,,,,1
961972778,Casual,very-high,0.0,small,Spring,o-neck,full,,,chiffon,applique,,0
893088817,Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,,bow,,1
952724683,party,Average,0.0,M,Spring,v-neck,sleevless,natural,,,,,1
855037000,Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,,,,1
660016574,Casual,very-high,4.6,M,winter,o-neck,short,natural,,,flowers,,1
738079582,Casual,Low,4.4,free,winter,halter,sleevless,natural,,,draped,,1
861001391,party,high,4.5,M,winter,o-neck,sleevless,,,,,,1
1099696103,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,,,,,0
